watchlist_id,watch_type,entity_id,risk_level,action,reason_code,reason_description,status,effective_from,reported_by,reported_source,country,city
wl000001,CARD,5008514036965665,high,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:00:00,SOC,Manual,India,Hyderabad
wl000002,CARD,4413337312552355,high,ADD,BLACKLISTED_MERCHANT,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:01:00,SOC,External Feed,India,Pune
wl000003,CARD,5329839542961842,low,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:02:00,AML Team,External Feed,India,Delhi
wl000004,CARD,4717327980595032,high,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:04:00,AML Team,External Feed,India,Chennai
wl000005,CARD,4260650191792026,critical,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:07:00,Customer Care,CRM,India,Bengaluru
wl000006,CARD,4009109391119268,high,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:12:00,SOC,Manual,India,Mumbai
wl000007,CARD,5953506373118040,medium,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:28:00,AML Team,AML,India,Chennai
wl000008,CARD,4519832731585146,critical,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:31:00,AML Team,External Feed,India,Bengaluru
wl000009,CARD,4910622723626693,high,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:32:00,AML Team,Manual,India,Chennai
wl000010,CARD,5229812099576576,high,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:33:00,Customer Care,External Feed,India,Mumbai
wl000011,CARD,5310720113798442,high,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:35:00,SOC,AML,India,Bengaluru
wl000012,CARD,5456232858842477,high,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:37:00,Fraud Team,CRM,India,Mumbai
wl000013,CARD,5791776334272032,medium,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:41:00,Customer Care,External Feed,India,Mumbai
wl000014,CARD,5863144170646255,high,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:43:00,Fraud Team,External Feed,India,Pune
wl000015,CARD,5729293143866328,high,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:49:00,SOC,AML,India,Delhi
wl000016,CARD,4552457871584155,high,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:53:00,SOC,Manual,India,Mumbai
wl000017,CARD,4645257775478124,critical,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:55:00,Fraud Team,CRM,India,Chennai
wl000018,CARD,5487632909279140,medium,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:56:00,AML Team,Manual,India,Delhi
wl000019,CARD,5004010414596428,high,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:58:00,Customer Care,CRM,India,Delhi
wl000020,CARD,5999404389836409,medium,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 09:59:00,SOC,AML,India,Mumbai
wl000021,CARD,5806533315377954,critical,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:02:00,AML Team,External Feed,India,Pune
wl000022,CARD,4391065180170461,high,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:03:00,AML Team,AML,India,Delhi
wl000023,CARD,4269312163761826,high,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:04:00,Customer Care,CRM,India,Pune
wl000024,CARD,5953766014448563,medium,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:05:00,AML Team,External Feed,India,Bengaluru
wl000025,CARD,4254257306624818,medium,ADD,BLACKLISTED_MERCHANT,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:06:00,AML Team,External Feed,India,Mumbai
wl000026,CARD,5047264261212036,critical,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:07:00,SOC,AML,India,Mumbai
wl000027,CARD,5940539103717053,medium,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:12:00,AML Team,AML,India,Pune
wl000028,CARD,4856728727601539,high,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:21:00,SOC,CRM,India,Delhi
wl000029,CARD,5443270185106798,medium,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:24:00,AML Team,External Feed,India,Chennai
